index,Question,Segment Type,Segment Description,Answer,Count,Percentage
363,What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.103
364,What social platform has influenced your online shopping most?,University,Appalachian State University,None,12,0.414
365,What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
366,What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
367,What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
368,What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
369,What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
370,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0
371,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0
372,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0
373,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0
374,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,None,1,1.0
375,What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
376,What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
377,What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,0.5
378,What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
379,What social platform has influenced your online shopping most?,University,University of Rhode Island,None,1,0.5
380,What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
381,What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
382,What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
383,What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
384,What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
385,What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
386,What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
387,What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
388,What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
389,What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
390,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0
391,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Instagram,1,1.0
392,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Snapchat,0,0.0
393,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0.0
394,What social platform has influenced your online shopping most?,University,Cypress Creek High School,None,0,0.0
395,What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0.0
396,What social platform has influenced your online shopping most?,University,Union High School,Instagram,0,0.0
397,What social platform has influenced your online shopping most?,University,Union High School,Snapchat,0,0.0
398,What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0.0
399,What social platform has influenced your online shopping most?,University,Union High School,None,1,1.0
400,What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,25,0.287
401,What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,25,0.287
402,What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,5,0.057
403,What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,2,0.023
404,What social platform has influenced your online shopping most?,University,College of William and Mary,None,30,0.345
405,What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0
406,What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0
407,What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0
408,What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0
409,What social platform has influenced your online shopping most?,University,Ohio State University,None,4,1.0
410,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0.0
411,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Instagram,0,0.0
412,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Snapchat,1,1.0
413,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0.0
414,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,None,0,0.0
415,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0
416,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0
417,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0
418,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0
419,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,None,2,1.0
420,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0
421,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0
422,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0
423,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0
424,What social platform has influenced your online shopping most?,University,Oklahoma State University ,None,0,0.0
425,What social platform has influenced your online shopping most?,University,University of Texas,Facebook,13,0.342
426,What social platform has influenced your online shopping most?,University,University of Texas,Instagram,11,0.289
427,What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,1,0.026
428,What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0
429,What social platform has influenced your online shopping most?,University,University of Texas,None,13,0.342
430,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0
431,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0
432,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0
433,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0
434,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,None,2,1.0
435,What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.157
436,What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,27,0.529
437,What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,2,0.039
438,What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,5,0.098
439,What social platform has influenced your online shopping most?,University,University of Arizona,None,9,0.176
440,What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0
441,What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0
442,What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0
443,What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0
444,What social platform has influenced your online shopping most?,University,Coventry University,None,0,0.0
445,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0
446,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0
447,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,2,0.667
448,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0
449,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,None,1,0.333
450,What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0
451,What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0
452,What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0
453,What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0
454,What social platform has influenced your online shopping most?,University,Colgate University,None,2,1.0
455,What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,30,0.261
456,What social platform has influenced your online shopping most?,University,Northwestern University,Instagram,47,0.409
457,What social platform has influenced your online shopping most?,University,Northwestern University,Snapchat,4,0.035
458,What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,4,0.035
459,What social platform has influenced your online shopping most?,University,Northwestern University,None,30,0.261
460,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0.0
461,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Instagram,0,0.0
462,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Snapchat,0,0.0
463,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1.0
464,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,None,0,0.0
465,What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,12,0.231
466,What social platform has influenced your online shopping most?,University,University of Michigan,Instagram,16,0.308
467,What social platform has influenced your online shopping most?,University,University of Michigan,Snapchat,1,0.019
468,What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,2,0.038
469,What social platform has influenced your online shopping most?,University,University of Michigan,None,21,0.404
470,What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0.0
471,What social platform has influenced your online shopping most?,University,Boise State University,Instagram,1,1.0
472,What social platform has influenced your online shopping most?,University,Boise State University,Snapchat,0,0.0
473,What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0.0
474,What social platform has influenced your online shopping most?,University,Boise State University,None,0,0.0
475,What social platform has influenced your online shopping most?,University,Cornell University,Facebook,35,0.287
476,What social platform has influenced your online shopping most?,University,Cornell University,Instagram,44,0.361
477,What social platform has influenced your online shopping most?,University,Cornell University,Snapchat,4,0.033
478,What social platform has influenced your online shopping most?,University,Cornell University,Twitter,1,0.008
479,What social platform has influenced your online shopping most?,University,Cornell University,None,38,0.311
480,What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.429
481,What social platform has influenced your online shopping most?,University,University of New Hampshire,Instagram,2,0.286
482,What social platform has influenced your online shopping most?,University,University of New Hampshire,Snapchat,0,0.0
483,What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.143
484,What social platform has influenced your online shopping most?,University,University of New Hampshire,None,1,0.143
485,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0.0
486,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Instagram,0,0.0
487,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Snapchat,0,0.0
488,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0.0
489,What social platform has influenced your online shopping most?,University,UMass Dartmouth,None,2,1.0
490,What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0.0
491,What social platform has influenced your online shopping most?,University,High Point University,Instagram,0,0.0
492,What social platform has influenced your online shopping most?,University,High Point University,Snapchat,0,0.0
493,What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0.0
494,What social platform has influenced your online shopping most?,University,High Point University,None,2,1.0
495,What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0.0
496,What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,2,0.5
497,What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
498,What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
499,What social platform has influenced your online shopping most?,University,University of Minnesota,None,2,0.5
500,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,14,0.187
501,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,32,0.427
502,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,1,0.013
503,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,5,0.067
504,What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,23,0.307
505,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
506,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
507,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
508,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
509,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
510,What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.25
511,What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.083
512,What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.083
513,What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
514,What social platform has influenced your online shopping most?,University,Illinois State,None,7,0.583
515,What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
516,What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
517,What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
518,What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
519,What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
520,What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
521,What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,0.5
522,What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
523,What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
524,What social platform has influenced your online shopping most?,University,Queens University,None,1,0.5
525,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
526,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
527,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
528,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
529,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
530,What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,64,0.25
531,What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,75,0.293
532,What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,10,0.039
533,What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.047
534,What social platform has influenced your online shopping most?,University,University of Virginia,None,95,0.371
535,What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
536,What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
537,What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
538,What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
539,What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
540,What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
541,What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
542,What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
543,What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
544,What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
545,What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.25
546,What social platform has influenced your online shopping most?,University,Johns Hopkins University,Instagram,1,0.083
547,What social platform has influenced your online shopping most?,University,Johns Hopkins University,Snapchat,0,0.0
548,What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.083
549,What social platform has influenced your online shopping most?,University,Johns Hopkins University,None,7,0.583
550,What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,26,0.252
551,What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Instagram,35,0.34
552,What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Snapchat,1,0.01
553,What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,7,0.068
554,What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,None,34,0.33
555,What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,7,0.412
556,What social platform has influenced your online shopping most?,University,Dartmouth College,Instagram,1,0.059
557,What social platform has influenced your online shopping most?,University,Dartmouth College,Snapchat,0,0.0
558,What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.059
559,What social platform has influenced your online shopping most?,University,Dartmouth College,None,8,0.471
560,What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.059
561,What social platform has influenced your online shopping most?,University,Purdue University,Instagram,2,0.118
562,What social platform has influenced your online shopping most?,University,Purdue University,Snapchat,0,0.0
563,What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.059
564,What social platform has influenced your online shopping most?,University,Purdue University,None,13,0.765
565,What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,24,0.142
566,What social platform has influenced your online shopping most?,University,San Diego State University,Instagram,84,0.497
567,What social platform has influenced your online shopping most?,University,San Diego State University,Snapchat,4,0.024
568,What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,13,0.077
569,What social platform has influenced your online shopping most?,University,San Diego State University,None,44,0.26
570,What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,0.5
571,What social platform has influenced your online shopping most?,University,Michigan State University,Instagram,0,0.0
572,What social platform has influenced your online shopping most?,University,Michigan State University,Snapchat,0,0.0
573,What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0.0
574,What social platform has influenced your online shopping most?,University,Michigan State University,None,1,0.5
575,What social platform has influenced your online shopping most?,University,Butler University,Facebook,9,0.273
576,What social platform has influenced your online shopping most?,University,Butler University,Instagram,13,0.394
577,What social platform has influenced your online shopping most?,University,Butler University,Snapchat,0,0.0
578,What social platform has influenced your online shopping most?,University,Butler University,Twitter,5,0.152
579,What social platform has influenced your online shopping most?,University,Butler University,None,6,0.182
580,What social platform has influenced your online shopping most?,University,Indiana University,Facebook,18,0.225
581,What social platform has influenced your online shopping most?,University,Indiana University,Instagram,24,0.3
582,What social platform has influenced your online shopping most?,University,Indiana University,Snapchat,4,0.05
583,What social platform has influenced your online shopping most?,University,Indiana University,Twitter,10,0.125
584,What social platform has influenced your online shopping most?,University,Indiana University,None,24,0.3
585,What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,12,0.3
586,What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Instagram,11,0.275
587,What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Snapchat,1,0.025
588,What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.025
589,What social platform has influenced your online shopping most?,University,"University of California, Berkeley",None,15,0.375
590,What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,4,0.167
591,What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,3,0.125
592,What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
593,What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,4,0.167
594,What social platform has influenced your online shopping most?,University,University of Missouri,None,13,0.542
595,What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,5,0.217
596,What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,8,0.348
597,What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,1,0.043
598,What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,3,0.13
599,What social platform has influenced your online shopping most?,University,Texas Christian University,None,6,0.261
600,What social platform has influenced your online shopping most?,University,Truman State University,Facebook,18,0.36
601,What social platform has influenced your online shopping most?,University,Truman State University,Instagram,15,0.3
602,What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,1,0.02
603,What social platform has influenced your online shopping most?,University,Truman State University,Twitter,2,0.04
604,What social platform has influenced your online shopping most?,University,Truman State University,None,14,0.28
605,What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,18,0.209
606,What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,24,0.279
607,What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,3,0.035
608,What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,7,0.081
609,What social platform has influenced your online shopping most?,University,University of Illinois,None,34,0.395
610,What social platform has influenced your online shopping most?,University,University of Washington,Facebook,12,0.245
611,What social platform has influenced your online shopping most?,University,University of Washington,Instagram,19,0.388
612,What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,1,0.02
613,What social platform has influenced your online shopping most?,University,University of Washington,Twitter,2,0.041
614,What social platform has influenced your online shopping most?,University,University of Washington,None,15,0.306
615,What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,14,0.241
616,What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,16,0.276
617,What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.034
618,What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,5,0.086
619,What social platform has influenced your online shopping most?,University,University of North Carolina,None,21,0.362
620,What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,4,0.222
621,What social platform has influenced your online shopping most?,University,Miami University (Ohio),Instagram,7,0.389
622,What social platform has influenced your online shopping most?,University,Miami University (Ohio),Snapchat,0,0.0
623,What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,2,0.111
624,What social platform has influenced your online shopping most?,University,Miami University (Ohio),None,5,0.278
625,What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Facebook,1,1.0
626,What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Instagram,0,0.0
627,What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Snapchat,0,0.0
628,What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Twitter,0,0.0
629,What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",None,0,0.0
630,What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Facebook,0,0.0
631,What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Instagram,1,1.0
632,What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Snapchat,0,0.0
633,What social platform has influenced your online shopping most?,University,Wilfred Laurier University,Twitter,0,0.0
634,What social platform has influenced your online shopping most?,University,Wilfred Laurier University,None,0,0.0
635,What social platform has influenced your online shopping most?,University,University of California Riverside,Facebook,0,0.0
636,What social platform has influenced your online shopping most?,University,University of California Riverside,Instagram,0,0.0
637,What social platform has influenced your online shopping most?,University,University of California Riverside,Snapchat,0,0.0
638,What social platform has influenced your online shopping most?,University,University of California Riverside,Twitter,0,0.0
639,What social platform has influenced your online shopping most?,University,University of California Riverside,None,1,1.0
640,What social platform has influenced your online shopping most?,University,University of Iowa,Facebook,0,0.0
641,What social platform has influenced your online shopping most?,University,University of Iowa,Instagram,0,0.0
642,What social platform has influenced your online shopping most?,University,University of Iowa,Snapchat,0,0.0
643,What social platform has influenced your online shopping most?,University,University of Iowa,Twitter,1,1.0
644,What social platform has influenced your online shopping most?,University,University of Iowa,None,0,0.0
645,What social platform has influenced your online shopping most?,University,University of California Irvine,Facebook,0,0.0
646,What social platform has influenced your online shopping most?,University,University of California Irvine,Instagram,1,0.5
647,What social platform has influenced your online shopping most?,University,University of California Irvine,Snapchat,0,0.0
648,What social platform has influenced your online shopping most?,University,University of California Irvine,Twitter,0,0.0
649,What social platform has influenced your online shopping most?,University,University of California Irvine,None,1,0.5
650,What social platform has influenced your online shopping most?,University,"University of California, Davis",Facebook,0,0.0
651,What social platform has influenced your online shopping most?,University,"University of California, Davis",Instagram,0,0.0
652,What social platform has influenced your online shopping most?,University,"University of California, Davis",Snapchat,0,0.0
653,What social platform has influenced your online shopping most?,University,"University of California, Davis",Twitter,0,0.0
654,What social platform has influenced your online shopping most?,University,"University of California, Davis",None,2,1.0
655,What social platform has influenced your online shopping most?,University,University of Waterloo,Facebook,0,0.0
656,What social platform has influenced your online shopping most?,University,University of Waterloo,Instagram,1,0.5
657,What social platform has influenced your online shopping most?,University,University of Waterloo,Snapchat,0,0.0
658,What social platform has influenced your online shopping most?,University,University of Waterloo,Twitter,0,0.0
659,What social platform has influenced your online shopping most?,University,University of Waterloo,None,1,0.5
660,What social platform has influenced your online shopping most?,University,Grand Valley State University,Facebook,0,0.0
661,What social platform has influenced your online shopping most?,University,Grand Valley State University,Instagram,0,0.0
662,What social platform has influenced your online shopping most?,University,Grand Valley State University,Snapchat,0,0.0
663,What social platform has influenced your online shopping most?,University,Grand Valley State University,Twitter,0,0.0
664,What social platform has influenced your online shopping most?,University,Grand Valley State University,None,1,1.0
665,What social platform has influenced your online shopping most?,University,Baylor University,Facebook,0,0.0
666,What social platform has influenced your online shopping most?,University,Baylor University,Instagram,0,0.0
667,What social platform has influenced your online shopping most?,University,Baylor University,Snapchat,0,0.0
668,What social platform has influenced your online shopping most?,University,Baylor University,Twitter,0,0.0
669,What social platform has influenced your online shopping most?,University,Baylor University,None,1,1.0
670,What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,3,0.214
671,What social platform has influenced your online shopping most?,University,Southern Methodist University,Instagram,3,0.214
672,What social platform has influenced your online shopping most?,University,Southern Methodist University,Snapchat,1,0.071
673,What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0.0
674,What social platform has influenced your online shopping most?,University,Southern Methodist University,None,7,0.5
675,What social platform has influenced your online shopping most?,University,Blinn College,Facebook,1,1.0
676,What social platform has influenced your online shopping most?,University,Blinn College,Instagram,0,0.0
677,What social platform has influenced your online shopping most?,University,Blinn College,Snapchat,0,0.0
678,What social platform has influenced your online shopping most?,University,Blinn College,Twitter,0,0.0
679,What social platform has influenced your online shopping most?,University,Blinn College,None,0,0.0
680,What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,7,0.2
681,What social platform has influenced your online shopping most?,University,Texas A&M University,Instagram,11,0.314
682,What social platform has influenced your online shopping most?,University,Texas A&M University,Snapchat,4,0.114
683,What social platform has influenced your online shopping most?,University,Texas A&M University,Twitter,3,0.086
684,What social platform has influenced your online shopping most?,University,Texas A&M University,None,10,0.286
685,What social platform has influenced your online shopping most?,University,Wellesley College,Facebook,0,0.0
686,What social platform has influenced your online shopping most?,University,Wellesley College,Instagram,0,0.0
687,What social platform has influenced your online shopping most?,University,Wellesley College,Snapchat,0,0.0
688,What social platform has influenced your online shopping most?,University,Wellesley College,Twitter,0,0.0
689,What social platform has influenced your online shopping most?,University,Wellesley College,None,1,1.0
690,What social platform has influenced your online shopping most?,University,Central Washington University,Facebook,0,0.0
691,What social platform has influenced your online shopping most?,University,Central Washington University,Instagram,1,1.0
692,What social platform has influenced your online shopping most?,University,Central Washington University,Snapchat,0,0.0
693,What social platform has influenced your online shopping most?,University,Central Washington University,Twitter,0,0.0
694,What social platform has influenced your online shopping most?,University,Central Washington University,None,0,0.0
695,What social platform has influenced your online shopping most?,University,Stellenbosch University,Facebook,1,0.5
696,What social platform has influenced your online shopping most?,University,Stellenbosch University,Instagram,0,0.0
697,What social platform has influenced your online shopping most?,University,Stellenbosch University,Snapchat,0,0.0
698,What social platform has influenced your online shopping most?,University,Stellenbosch University,Twitter,0,0.0
699,What social platform has influenced your online shopping most?,University,Stellenbosch University,None,1,0.5
700,What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Facebook,0,0.0
701,What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Instagram,0,0.0
702,What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Snapchat,0,0.0
703,What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,Twitter,0,0.0
704,What social platform has influenced your online shopping most?,University,Universidad Nacional de Costa Rica,None,1,1.0
705,What social platform has influenced your online shopping most?,University,Kennesaw State University,Facebook,0,0.0
706,What social platform has influenced your online shopping most?,University,Kennesaw State University,Instagram,1,1.0
707,What social platform has influenced your online shopping most?,University,Kennesaw State University,Snapchat,0,0.0
708,What social platform has influenced your online shopping most?,University,Kennesaw State University,Twitter,0,0.0
709,What social platform has influenced your online shopping most?,University,Kennesaw State University,None,0,0.0
710,What social platform has influenced your online shopping most?,University,Newcastle University,Facebook,0,0.0
711,What social platform has influenced your online shopping most?,University,Newcastle University,Instagram,1,1.0
712,What social platform has influenced your online shopping most?,University,Newcastle University,Snapchat,0,0.0
713,What social platform has influenced your online shopping most?,University,Newcastle University,Twitter,0,0.0
714,What social platform has influenced your online shopping most?,University,Newcastle University,None,0,0.0
715,What social platform has influenced your online shopping most?,University,University of West Georgia ,Facebook,1,1.0
716,What social platform has influenced your online shopping most?,University,University of West Georgia ,Instagram,0,0.0
717,What social platform has influenced your online shopping most?,University,University of West Georgia ,Snapchat,0,0.0
718,What social platform has influenced your online shopping most?,University,University of West Georgia ,Twitter,0,0.0
719,What social platform has influenced your online shopping most?,University,University of West Georgia ,None,0,0.0
720,What social platform has influenced your online shopping most?,University,Azusa Pacific University,Facebook,0,0.0
721,What social platform has influenced your online shopping most?,University,Azusa Pacific University,Instagram,1,1.0
